ID,target,prompt_label,prompt,PCD SCORE,human_annotator_1,human_annotator_2,human_annotator_3,confidence,majority,gpt-4.1-mini
20,Batman,20,"Batman as a brooding, legendary masked vigilante in a highly detailed comic-style illustration, featuring a sleek, form-fitting dark costume with a cowl that has sharply pointed bat ears, a prominently emblazoned bat emblem on his muscular chest, a long windswept cape, a fully-equipped utility belt with cutting-edge crime-fighting gadgets, all set atop a rain-soaked, gothic urban silhouette under a full moon.",-0.04827287793,1,1,1,3,1,1
1,Elsa,20_keywords,"Frozen, Disney, Snow, Silver, Winter, Crown, Magic, Gown, Frost, Cape, Glitter, Snowflakes, Tiara, Braid, Sparkle, Ice Queen, Cool, Fantasy, Animation, Hairstyle, cartoon",-0.1004246771,1,1,1,3,1,1
2,Elsa,15_keywords_1,"Glitter, Cool, Braid, Frozen, Sparkle, Winter, Ice Queen, Tiara, Frost, Hairstyle, Disney, Silver, Magic, Animation, Fantasy",-0.06403765082,0,0,0,0,0,1
3,Elsa,15_keywords_2,"Glitter, Gown, Ice Queen, Hairstyle, Frost, Tiara, Snowflakes, Snow, Cape, Magic, Crown, Winter, Sparkle, cartoon, Disney",-0.08512708545,0,1,0,1,0,1
4,Elsa,15_keywords_3,"Winter, Magic, Fantasy, Gown, Cape, Animation, Sparkle, Snow, cartoon, Braid, Hairstyle, Silver, Ice Queen, Snowflakes, Disney",-0.1276910603,1,0,0,1,0,1
5,Elsa,10_keywords_1,"Winter, Silver, Crown, Snow, Gown, Disney, Animation, Tiara, Frozen, Frost",-0.06549689174,1,0,0,1,0,1
6,Elsa,10_keywords_2,"Braid, Sparkle, Hairstyle, cartoon, Frozen, Ice Queen, Snow, Frost, Disney, Cape",0.003988981247,1,1,0,2,1,1
7,Elsa,10_keywords_3,"Animation, Frost, Crown, Disney, Snowflakes, Frozen, Tiara, Hairstyle, Silver, cartoon",-0.06461173296,1,1,1,3,1,1
8,Elsa,5_keywords_1,"Magic, Cape, Snowflakes, Fantasy, Braid",-0.1160104871,0,0,0,0,0,0
9,Elsa,5_keywords_2,"Sparkle, Animation, Frozen, Snowflakes, Magic",-0.03129503131,1,1,1,3,1,1
10,Elsa,5_keywords_3,"Cape, Silver, Disney, Glitter, Snow",-0.133762002,0,0,0,0,0,0
11,Elsa,2,"A cartoon figure with a subtle aura of frost, wearing light blue clothing with gentle shimmer.",-0.0476244241,0,0,0,0,0,0
12,Elsa,3,A cheerful animated character featuring soft icy tones and delicate accents of blue and white.,-0.1608033031,0,0,0,0,0,0
13,Elsa,10,"A dynamic portrait of a regal character with softly braided platinum hair and a refined light-blue gown featuring intricate frost patterns, set in a magical winter forest with drifting snow.",-0.1347518414,0,0,0,0,0,0
14,Elsa,11,"An expressive animated character with signature platinum braids, donning an elaborately detailed ice-blue dress with exquisite snowflake designs, against a backdrop of a glacial palace and softly falling snow.",-0.04401254654,0,1,0,1,0,1
15,Elsa,12,"A detailed illustration of a cartoon ice sorceress with elegant platinum braids, wearing a high-collared, shimmering blue gown embellished with delicate crystalline motifs, as swirling winter winds create a magical ambiance.",-0.1148869097,0,0,0,0,0,0
16,Elsa,14,"A captivating scene of a serene ice enchantress with flowing platinum braids, an exquisitely detailed blue dress with snowflake embroidery and shimmering accents, set amidst a twilight winter wonderland of ice castles.",-0.1141527593,0,0,0,0,0,1
17,Elsa,15,"A richly detailed animated portrait featuring a regal character with impeccably braided platinum hair, clothed in an ornate, ice-blue gown patterned with intricate frost designs, framed by a stunning winter cityscape with icy spires.",-0.1417842507,0,0,0,0,0,0
18,Elsa,16,"A sophisticated illustration of a cartoon ice queen with signature platinum braids and a flowing, elaborately decorated blue gown adorned with delicate crystalline frost motifs, standing in a breathtaking winter wonderland.",-0.09455883503,0,1,0,1,0,1
19,Elsa,17,"A dynamic depiction of an animated ice sorceress with glossy, intricately braided platinum hair, wearing a layered ice-blue gown embellished with sparkling snowflake and crystal motifs, set against a magical kingdom of glittering ice.",-0.06584006548,0,1,0,1,0,1
20,Elsa,20,"A masterpiece of digital art: Elsa, the iconic ice queen with long, immaculate platinum braids, wearing an exquisitely detailed, shimmering ice-blue gown adorned with intricate snowflake and frost motifs, her poised expression exuding regal winter magic as she stands amidst a breathtaking kingdom of glistening ice palaces and softly cascading snowflakes.",-0.04767784476,1,0,0,1,0,0
1,Mario,20_keywords,"Nintendo, Bowser, Yoshi, Italian, Princess Peach, video games, Cap, coins, plumber, Question Block, hero, jumping, power-ups, mustache, iconic, mushroom kingdom, Fire Flower, Super Star, jumps, pipes, cartoon",-0.07809180021,1,1,1,3,1,1
2,Mario,15_keywords_1,"Italian, plumber, iconic, Cap, video games, Super Star, Question Block, Bowser, Nintendo, mushroom kingdom, power-ups, cartoon, mustache, jumping, pipes",-0.05975233018,1,0,0,1,0,1
3,Mario,15_keywords_2,"power-ups, coins, hero, plumber, jumps, pipes, Princess Peach, mushroom kingdom, Super Star, Fire Flower, Question Block, Italian, Cap, jumping, Yoshi",-0.101581037,0,0,0,0,0,0
4,Mario,15_keywords_3,"coins, hero, Question Block, pipes, Super Star, Yoshi, Italian, Cap, Bowser, mustache, Nintendo, iconic, mushroom kingdom, cartoon, Fire Flower",-0.1613042355,0,0,0,0,0,0
5,Mario,10_keywords_1,"Yoshi, Nintendo, Princess Peach, pipes, jumping, Question Block, hero, coins, Cap, Italian",-0.02967521548,0,0,0,0,0,0
6,Mario,10_keywords_2,"plumber, Nintendo, power-ups, coins, pipes, mushroom kingdom, cartoon, mustache, Yoshi, Super Star",-0.06611269712,0,0,0,0,0,0
7,Mario,10_keywords_3,"jumping, Yoshi, pipes, Nintendo, power-ups, jumps, Super Star, cartoon, Fire Flower, iconic",-0.1233274639,0,0,0,0,0,0
8,Mario,5_keywords_1,"jumping, Cap, jumps, coins, Princess Peach",-0.1639062911,0,0,0,0,0,0
9,Mario,5_keywords_2,"Italian, Yoshi, mustache, Cap, cartoon",-0.1521043479,0,0,0,0,0,0
10,Mario,5_keywords_3,"video games, jumps, pipes, Nintendo, hero",-0.0252020061,0,0,0,0,0,0
11,Mario,1,A vibrant cartoon character with a red cap and playful energy in a colorful animated world.,-0.1228520274,0,0,0,0,0,1
12,Mario,3,"An animated character sporting a red cap and hinting at a blue outfit, set against a bright, inviting backdrop.",-0.09707096219,0,0,0,0,0,0
13,Mario,4,"A smiling cartoon character with a red cap and subtle blue overalls, rendered in a classic, playful style.",-0.1819414198,0,0,0,0,0,0
14,Mario,7,"A detailed illustration of a mustachioed plumber wearing a red cap with an emblem, blue overalls, and a matching red shirt, set in a vibrant video game scene with pipes, coins, and whimsical brick blocks.",-0.124047488,1,1,1,3,1,1
15,Mario,9,"An engaging cartoon scene featuring a cheerful plumber with a signature red cap carrying an 'M' emblem, a full bushy mustache, blue overalls paired with a red shirt, and a backdrop of iconic green pipes, brick blocks, and floating coins.",-0.1174224615,1,1,0,2,1,1
16,Mario,10,"A vibrant depiction of a classic video game hero: a mustachioed plumber with a red cap branded by an 'M', blue overalls, and a red shirt, energetically mid-jump among detailed green pipes, golden coins, and retro brick platforms.",-0.1436959505,1,1,0,2,1,1
17,Mario,11,"A richly detailed digital painting of a renowned plumber character, complete with a red cap emblazoned with an 'M', a vigorous bushy mustache, blue denim overalls, and a red shirt, captured mid-leap in a pixel art world filled with green pipes and shining coins.",-0.09902480245,1,1,0,2,1,1
18,Mario,12,"A high-resolution illustration featuring a dynamic, mustachioed plumber in a red cap with a signature emblem, blue overalls, and a bold red shirt; he’s shown leaping through a magical video game environment with iconic green pipes, glowing coins, and charming brick platforms.",-0.1344715506,1,1,1,3,1,1
19,Mario,13,"A captivating scene of a modern cartoon plumber hero wearing a distinctive red cap with an 'M', a full bushy mustache, classic blue overalls, and a bright red shirt, actively jumping amidst a richly textured pixelated world with green pipes, coins, mushrooms, and brick blocks.",-0.1139183342,1,1,0,2,1,1
20,Mario,20,"Mario, the iconic video game plumber, vividly illustrated with his trademark red cap emblazoned with a bold ""M"", a thick bushy mustache, blue denim overalls, and a bright red shirt; dynamically captured in mid-jump within a meticulously detailed pixel art universe featuring classic green pipes, layered brick platforms, glittering golden coins, power-up mushrooms and stars, and a vibrant, nostalgic game landscape that unmistakably brings his legendary character to life.",-0.08209463954,1,1,1,3,1,1
1,Mickey Mouse,20_keywords,"Disney, clubhouse, red, Walt Disney, black, cartoon, ears, white, classic, character, happy, fun, magic, silhouette, shorts, round, animation, mascot, animated, gloves, cartoon",0.05007332563,1,1,1,3,1,1
2,Mickey Mouse,15_keywords_1,"red, cartoon, gloves, magic, black, round, Walt Disney, mascot, cartoon, animation, animated, ears, fun, Disney, clubhouse",0.03414797783,1,1,1,3,1,1
3,Mickey Mouse,15_keywords_2,"Disney, shorts, classic, animated, cartoon, white, Walt Disney, gloves, character, clubhouse, silhouette, red, cartoon, magic, fun",-0.08476448059,1,1,1,3,1,1
4,Mickey Mouse,15_keywords_3,"animated, fun, classic, round, silhouette, white, shorts, cartoon, black, Walt Disney, ears, cartoon, mascot, animation, red",-0.02531835437,1,1,0,2,1,1
5,Mickey Mouse,10_keywords_1,"Walt Disney, animation, black, character, gloves, animated, magic, silhouette, clubhouse, shorts",-0.09352177382,1,0,0,1,0,1
6,Mickey Mouse,10_keywords_2,"white, ears, black, magic, clubhouse, animated, mascot, shorts, character, gloves",-0.148535952,0,0,0,0,0,0
7,Mickey Mouse,10_keywords_3,"animation, Disney, silhouette, black, ears, cartoon, magic, cartoon, gloves, shorts",-0.1190763861,0,0,0,0,0,0
8,Mickey Mouse,5_keywords_1,"shorts, fun, red, cartoon, cartoon",-0.1039824635,0,0,0,0,0,0
9,Mickey Mouse,5_keywords_2,"clubhouse, animation, Disney, animated, cartoon",-0.1826861128,0,0,0,0,0,0
10,Mickey Mouse,5_keywords_3,"clubhouse, magic, fun, red, character",-0.2142932154,0,0,0,0,0,0
11,Mickey Mouse,1,"A cheery cartoon mouse character with a subtle nod to vintage animation, featuring a hint of large, rounded ears and a classic color scheme.",-0.175870657,0,0,0,0,0,0
12,Mickey Mouse,4,"A smiling animated mouse with prominent circular ears and soft contrasting colors, reminiscent of early animation styles with delicate glove-like details.",-0.1780479252,0,0,0,0,0,0
13,Mickey Mouse,5,"A charming animated mouse showcasing oversized round ears, a hint of red shorts, and distinctive white gloves, evoking a timeless cartoon vibe.",-0.1007300317,0,0,0,0,0,0
14,Mickey Mouse,10,"A vibrant cartoon mouse with classic large round ears, distinct red shorts, bright yellow shoes, and striking white gloves, rendered in a cheerful, old-school animation style.",-0.1562279761,0,0,0,0,0,1
15,Mickey Mouse,12,"A detailed animated mouse character with prominent round ears, a classic outfit of red shorts, bright yellow shoes, and crisp white gloves, displayed in an engaging, fantastical scene.",-0.1403897852,0,0,0,0,0,0
16,Mickey Mouse,14,"A spirited cartoon mouse showcasing trademark oversized round ears, vivid red shorts, bold yellow shoes, and clean white gloves, playfully posed in a richly detailed animated park.",-0.1475818455,0,0,0,0,0,0
17,Mickey Mouse,15,"A vividly illustrated animated mouse characterized by large round ears, signature red shorts, sunny yellow shoes, and white gloves, exhibiting a lively stance and cheerful expression against a fantasy cartoon backdrop.",-0.1926459521,0,0,0,0,0,0
18,Mickey Mouse,16,"A dynamic depiction of an animated mouse with distinctive large circular ears, red shorts, oversized yellow shoes, and white gloves, posed energetically in a richly detailed animated townscape.",-0.1785489619,0,0,0,0,0,0
19,Mickey Mouse,17,"An intricately designed cartoon mouse featuring unmistakable large round ears, bold red shorts, striking yellow shoes, and clean white gloves, brought to life with animated expressions in a bustling, storybook environment.",-0.1161391586,0,0,0,0,0,1
20,Mickey Mouse,20,"A comprehensive, unmistakable depiction of Mickey Mouse: an animated character with perfectly circular, oversized ears, classic red shorts, bold yellow shoes, and crisp white gloves, complete with a cheerful smile and sparkling eyes, dynamically set in a richly detailed, whimsical animated landscape.",-0.07531648874,1,1,1,3,1,1
1,Pikachu,20_keywords,"Pokémon, cute, anime, toy, yellow, character, red, series, mascot, small, Ash Ketchum, short, tail, ears, creature, electric, collectible, mouse, fictional, video games, cartoon",-0.08014908433,1,0,0,1,0,1
2,Pikachu,15_keywords_1,"fictional, mascot, short, creature, yellow, cute, character, Pokémon, cartoon, collectible, mouse, tail, toy, Ash Ketchum, small",-0.1623199582,0,0,0,0,0,0
3,Pikachu,15_keywords_2,"small, Pokémon, red, fictional, tail, electric, creature, cute, video games, mouse, series, collectible, cartoon, Ash Ketchum, yellow",-0.04651978612,1,0,0,1,0,1
4,Pikachu,15_keywords_3,"mouse, series, video games, character, small, cute, electric, fictional, red, creature, mascot, short, anime, tail, cartoon",-0.09076115489,0,0,0,0,0,0
5,Pikachu,10_keywords_1,"short, electric, video games, cartoon, collectible, series, mascot, Ash Ketchum, mouse, character",-0.1505792886,0,0,0,0,0,0
6,Pikachu,10_keywords_2,"Pokémon, mouse, yellow, cute, mascot, fictional, tail, small, toy, anime",-0.0369990021,0,0,0,0,0,1
7,Pikachu,10_keywords_3,"collectible, toy, short, red, mouse, series, yellow, electric, character, anime",-0.214654237,0,0,0,0,0,0
8,Pikachu,5_keywords_1,"video games, collectible, cute, tail, mouse",-0.138782084,0,0,0,0,0,0
9,Pikachu,5_keywords_2,"collectible, anime, electric, fictional, character",-0.1165347621,0,0,0,0,0,0
10,Pikachu,5_keywords_3,"mouse, Pokémon, video games, electric, small",-0.02336208522,1,1,0,2,1,1
11,Pikachu,2,"A small, vibrant cartoon character in predominantly yellow hues with subtle blush on its cheeks and gently pointed ears.",-0.2138924599,0,0,0,0,0,0
12,Pikachu,5,"A small, chubby cartoon creature with bright yellow fur, rosy red cheeks, and pointed ears featuring dark tips, exuding energetic charm.",-0.102297917,0,0,0,0,0,0
13,Pikachu,9,"A dynamic depiction of a cute yellow cartoon character with prominent dark-tipped pointed ears, glowing red cheeks, and an emerging zigzag tail, set in a vivid, energetic landscape.",-0.1738219559,0,0,0,0,0,0
14,Pikachu,12,"An expressive digital painting of a lively yellow cartoon figure displaying signature dark-tipped pointed ears, bright red cheeks, and a distinct lightning bolt tail, set against a dynamic urban backdrop.",-0.1766469479,0,0,0,0,0,0
15,Pikachu,13,"A captivating scene showcasing a cheerful yellow character with iconic dark-tipped pointed ears, pronounced red cheeks, and a uniquely zigzag lightning bolt tail, illustrated with lively, animated motion.",-0.1508379579,0,0,0,0,0,0
16,Pikachu,15,"A comprehensive digital artwork featuring a small yellow character with clearly defined dark-tipped pointed ears, vibrant red cheeks, and an unmistakable lightning bolt tail, interacting with a charmingly detailed fantasy setting.",-0.07878527045,0,0,0,0,0,0
17,Pikachu,16,"An intricate depiction of a spirited yellow creature boasting signature dark-tipped pointed ears, blushing red cheeks, and a dynamic zigzag lightning bolt tail, rendered in a richly textured urban fantasy scene.",-0.1840330064,0,0,0,0,0,0
18,Pikachu,17,"A finely detailed illustration of a joyful yellow character with its trademark dark-tipped pointed ears, bright red cheeks, and a well-defined lightning bolt tail, set in a sunlit, whimsical forest clearing.",-0.1313780099,0,0,0,0,0,1
19,Pikachu,18,"An elaborate digital composition portraying a dynamic yellow cartoon figure with distinctive dark-tipped pointed ears, radiant red cheeks, and a prominent zigzag lightning bolt tail, staged in a bustling modern cityscape.",-0.193164587,0,0,0,0,0,0
20,Pikachu,20,"An exquisitely detailed digital illustration of Pikachu—the iconic yellow Pokémon—with signature dark-tipped pointed ears, bright rosy cheeks, and a distinct lightning bolt-shaped tail, rendered in a dynamic, high-energy style complete with a playful expression, vibrant environmental accents, and intricate background elements that unmistakably capture the beloved character’s essence.",-0.03922849894,1,1,1,3,1,1
1,Sonic the Hedgehog,20_keywords,"hedgehog, Sega, tails, video game, Blue, Genesis, zone, cartoon, Sonic boom, adventure, comics, speed, rings, running, collectible, fast, cool, sneakers, mascot, hero, cartoon",-0.08566442132,1,1,1,3,1,1
2,Sonic the Hedgehog,15_keywords_1,"comics, sneakers, Genesis, cartoon, speed, Blue, rings, tails, hero, video game, cartoon, hedgehog, Sega, zone, Sonic boom",-0.07990297675,1,1,1,3,1,1
3,Sonic the Hedgehog,15_keywords_2,"sneakers, Sega, Blue, cartoon, Genesis, cool, video game, adventure, hero, comics, collectible, hedgehog, cartoon, zone, mascot",-0.09521573782,1,1,1,3,1,1
4,Sonic the Hedgehog,15_keywords_3,"hero, Blue, collectible, Genesis, cartoon, rings, tails, zone, sneakers, adventure, cool, hedgehog, comics, Sega, mascot",-0.1012486517,1,1,1,3,1,1
5,Sonic the Hedgehog,10_keywords_1,"cartoon, video game, adventure, running, sneakers, Sonic boom, tails, Genesis, cartoon, comics",-0.04265165329,1,1,1,3,1,1
6,Sonic the Hedgehog,10_keywords_2,"adventure, hedgehog, Sonic boom, rings, mascot, speed, Blue, fast, zone, video game",-0.02230101824,1,1,1,3,1,1
7,Sonic the Hedgehog,10_keywords_3,"Genesis, zone, Sega, cool, fast, Sonic boom, tails, rings, running, collectible",-0.05061508715,0,0,0,0,0,0
8,Sonic the Hedgehog,5_keywords_1,"mascot, cartoon, hedgehog, hero, Genesis",-0.06953686476,0,0,0,0,0,0
9,Sonic the Hedgehog,5_keywords_2,"fast, sneakers, hero, adventure, Sonic boom",-0.1453351378,1,0,0,1,0,1
10,Sonic the Hedgehog,5_keywords_3,"tails, Genesis, sneakers, fast, running",-0.1299039125,0,0,0,0,0,0
11,Sonic the Hedgehog,1,"A lively blue cartoon creature with a subtle spiky hairstyle, full of energy, standing on a simple background.",-0.2179612443,0,0,0,0,0,0
12,Sonic the Hedgehog,3,"A playful blue character with soft, spiky hair and expressive eyes, depicted in a dynamic, animated art style that subtly hints at speed.",-0.1806469262,0,0,0,0,0,0
13,Sonic the Hedgehog,4,"A cheerful blue cartoon figure with visible spiky hair and a hint of heroism, standing in a relaxed pose on a clean, simple background.",-0.1730266511,0,0,0,0,0,0
14,Sonic the Hedgehog,6,"A striking blue hedgehog-style character featuring pronounced spiky hair, vibrant red sneakers with white details, and crisp white gloves, set against a dynamic backdrop.",-0.1432732642,0,1,0,1,0,0
15,Sonic the Hedgehog,7,"An animated blue hedgehog with bold, spiky hair, red running shoes with white trim, and white gloves, depicted in mid-run with a sense of high-speed action.",-0.1087627262,0,0,0,0,0,1
16,Sonic the Hedgehog,9,"A vivid illustration of a blue hedgehog with sharp, spiky blue hair, bold red sneakers with white stripes, and clean white gloves, captured mid-sprint in an energetic scene.",-0.0519079864,1,1,0,2,1,1
17,Sonic the Hedgehog,11,"An animated blue hedgehog with iconic spiky hair, vibrant red running shoes lined with white, and signature white gloves, shown in a dynamic running pose against a digital cityscape.",-0.1937024593,0,0,0,0,0,1
18,Sonic the Hedgehog,14,"A carefully illustrated blue hedgehog with unmistakable spiky hair, vibrant red sneakers with white stripes, and white gloves, sprinting dynamically across a futuristic city filled with neon glows.",-0.06488075852,1,1,1,3,1,1
19,Sonic the Hedgehog,15,"A high-energy depiction of a blue hedgehog with energetic spiky blue hair, classic red sneakers with white accents, and salient white gloves, running with dramatic motion blur through a cyberpunk urban landscape.",-0.1024567783,1,1,0,2,1,1
20,Sonic the Hedgehog,20,"Sonic the Hedgehog: a fully detailed illustration of the iconic blue speedster featuring his signature spiky blue hair, vibrant green eyes, classic red sneakers with white stripes, and white gloves, captured in mid-run through an intricately rendered futuristic cityscape with vivid neon lights, dynamic motion blur, and an exhilarating sense of speed and adventure.",-0.1232572794,1,1,1,3,1,1
1,Spider_man,20_keywords,"costume, Marvel Comics, superhero, mask, New York, stealth, jumpsuit, swinging, friendly neighborhood, young, hooded, web-shooter, web-slinger, spider-sense, climbing, iconic, symbol, crawling, athletic, wall-crawler, cartoon",-0.04155692458,1,1,1,3,1,1
2,Spider_man,15_keywords_1,"stealth, New York, athletic, web-shooter, Marvel Comics, mask, cartoon, costume, hooded, spider-sense, wall-crawler, swinging, friendly neighborhood, superhero, iconic",-0.1610813439,1,1,0,2,1,1
3,Spider_man,15_keywords_2,"jumpsuit, young, hooded, superhero, costume, wall-crawler, symbol, New York, climbing, mask, stealth, friendly neighborhood, iconic, swinging, athletic",-0.09186127782,0,1,0,1,0,1
4,Spider_man,15_keywords_3,"superhero, athletic, wall-crawler, web-slinger, stealth, Marvel Comics, young, jumpsuit, mask, swinging, cartoon, climbing, spider-sense, symbol, friendly neighborhood",-0.04568058252,1,1,1,3,1,1
5,Spider_man,10_keywords_1,"wall-crawler, cartoon, Marvel Comics, crawling, hooded, stealth, swinging, New York, athletic, web-slinger",-0.02950707078,1,1,1,3,1,1
6,Spider_man,10_keywords_2,"spider-sense, web-shooter, stealth, friendly neighborhood, wall-crawler, swinging, mask, symbol, superhero, costume",-0.01407369971,1,1,1,3,1,1
7,Spider_man,10_keywords_3,"swinging, cartoon, athletic, Marvel Comics, jumpsuit, New York, costume, web-shooter, wall-crawler, friendly neighborhood",-0.05256611109,1,1,1,3,1,1
8,Spider_man,5_keywords_1,"wall-crawler, web-slinger, superhero, web-shooter, Marvel Comics",-0.02430737019,1,1,1,3,1,1
9,Spider_man,5_keywords_2,"young, Marvel Comics, superhero, crawling, cartoon",-0.05733905733,0,1,0,1,0,1
10,Spider_man,5_keywords_3,"iconic, stealth, climbing, superhero, web-shooter",0.01166218519,0,1,0,1,0,1
11,Spider_man,1,"Create an illustration of a cartoon hero wearing a predominantly red outfit with subtle dark, web-like patterns and a mystery-shrouded mask.",-0.1378866881,0,0,0,0,0,0
12,Spider_man,2,"Depict an animated character in a red costume with hints of intricate web details on the fabric, set against a softly rendered urban background.",-0.1790816858,0,0,0,0,0,0
13,Spider_man,3,"Render a dynamic cartoon figure outfitted in a red suit featuring faint black webbing patterns and a simple mask with expressive eyes, posed against a minimalist cityscape.",-0.1356329322,0,0,0,0,0,1
14,Spider_man,5,"Generate an image of a nimble, web-slinging hero in a red and blue costume featuring detailed black web patterns, a mask with large expressive white eyes, and a dynamic urban setting.",-0.09150999784,0,1,0,1,0,1
15,Spider_man,7,"Illustrate a dynamic vigilante in a red and blue spandex suit adorned with fine black web patterns and a sleek mask emphasizing white eyes, leaping between high-rise buildings during twilight.",-0.08256444335,1,1,0,2,1,1
16,Spider_man,8,"Render a vibrant scene of an agile hero in a red and blue costume decorated with intricate web patterns and a subtle spider emblem, his masked face exuding determination as he swings across an urban skyline.",-0.1164121479,1,1,1,3,1,1
17,Spider_man,12,"Design an image of a celebrated web-slinger in a form-fitting red and blue outfit decorated with flowing black web patterns and a bold spider emblem on the chest, his mask with brilliant white eyes adding mystery, set in a densely detailed modern city at dusk.",-0.0251737535,1,1,1,3,1,1
18,Spider_man,17,"Craft a detailed illustration of a famed web-slinger in a classic red and blue costume, complete with elaborate black webbing and a central spider motif on his chest, and a mask with prominent white eyes; include a richly rendered nighttime cityscape with rain, neon lights, and skyscraper silhouettes as he leaps dynamically.",-0.06448274851,1,1,1,3,1,1
19,Spider_man,18,"Render an intricate artwork of a celebrated urban superhero in his iconic red and blue spandex suit decorated with precise black web patterns and a vivid spider emblem, his mask displaying large, determined white eyes, set against an atmospheric city scene with glowing neon signs, reflective puddles, and towering buildings.",-0.1178959161,1,1,1,3,1,1
20,Spider_man,20,"Illustrate Spider-Man, the iconic web-slinging superhero, in a vivid, ultra-detailed digital artwork: capture his classic red and blue spandex suit adorned with meticulously crafted black web patterns and an unmistakable spider emblem on his chest; his sleek mask features large, expressive white eyes that exude determination, while he swings dynamically through a rain-drenched nighttime New York City, complete with reflective wet streets, towering skyscrapers, and ambient neon lighting that emphasizes every acrobatic detail of his heroic presence.",-0.02115702629,1,1,1,3,1,1
1,Spongebob Squarepants,20_keywords,"Bikini Bottom, Nickelodeon, cartoon, yellow, Squidward, Krusty Krab, Patrick Star, pineapple, pants, Gary, sea, Krabs, Krabby Patty, square, fun, socks, Sandy Cheeks, animated, shoes, jellyfish, cartoon",-0.08129134774,0,0,0,0,0,1
2,Spongebob Squarepants,15_keywords_1,"sea, Patrick Star, Bikini Bottom, yellow, Gary, fun, Nickelodeon, Squidward, animated, cartoon, cartoon, shoes, pineapple, square, Sandy Cheeks",-0.07205483317,1,1,0,2,1,1
3,Spongebob Squarepants,15_keywords_2,"jellyfish, fun, pants, socks, Krabs, square, Patrick Star, animated, Krusty Krab, Gary, yellow, shoes, cartoon, Sandy Cheeks, Nickelodeon",-0.129547134,0,0,0,0,0,0
