ID,target,prompt_label,prompt,PCD SCORE,human_annotator_1,human_annotator_2,human_annotator_3,confidence,majority,gpt-4.1-mini,,,,,,,,,,,,,,,,
3,Elsa,15_keywords_2,"Glitter, Gown, Ice Queen, Hairstyle, Frost, Tiara, Snowflakes, Snow, Cape, Magic, Crown, Winter, Sparkle, cartoon, Disney",-0.0741006434,0,1,0,1,0,1,,,,,,,,,,,,,,,,
4,Elsa,15_keywords_3,"Winter, Magic, Fantasy, Gown, Cape, Animation, Sparkle, Snow, cartoon, Braid, Hairstyle, Silver, Ice Queen, Snowflakes, Disney",-0.09204515815,0,1,1,2,1,1,,,,,,,,,,,,,,,,
5,Elsa,10_keywords_1,"Winter, Silver, Crown, Snow, Gown, Disney, Animation, Tiara, Frozen, Frost",-0.04562225938,1,1,1,3,1,1,,,,,,,,,,,,,,,,
6,Elsa,10_keywords_2,"Braid, Sparkle, Hairstyle, cartoon, Frozen, Ice Queen, Snow, Frost, Disney, Cape",-0.04966625571,1,1,1,3,1,1,,,,,,,,,,,,,,,,
7,Elsa,10_keywords_3,"Animation, Frost, Crown, Disney, Snowflakes, Frozen, Tiara, Hairstyle, Silver, cartoon",-0.01518416405,1,1,1,3,1,1,,,,,,,,,,,,,,,,
8,Elsa,5_keywords_1,"Magic, Cape, Snowflakes, Fantasy, Braid",-0.08377854526,0,0,0,0,0,1,,,,,,,,,,,,,,,,
9,Elsa,5_keywords_2,"Sparkle, Animation, Frozen, Snowflakes, Magic",-0.1613323987,0,0,0,0,0,0,,,,,,,,,,,,,,,,
10,Elsa,5_keywords_3,"Cape, Silver, Disney, Glitter, Snow",-0.1703322083,0,0,0,0,0,0,,,,,,,,,,,,,,,,
11,Elsa,2,"A cartoon figure with a subtle aura of frost, wearing light blue clothing with gentle shimmer.",-0.2315879613,0,0,0,0,0,0,,,,,,,,,,,,,,,,
12,Elsa,3,A cheerful animated character featuring soft icy tones and delicate accents of blue and white.,-0.1041279584,0,0,0,0,0,0,,,,,,,,,,,,,,,,
13,Elsa,10,"A dynamic portrait of a regal character with softly braided platinum hair and a refined light-blue gown featuring intricate frost patterns, set in a magical winter forest with drifting snow.",-0.07832658291,0,0,0,0,0,1,,,,,,,,,,,,,,,,
14,Elsa,11,"An expressive animated character with signature platinum braids, donning an elaborately detailed ice-blue dress with exquisite snowflake designs, against a backdrop of a glacial palace and softly falling snow.",-0.05517783761,0,0,0,0,0,1,,,,,,,,,,,,,,,,
15,Elsa,12,"A detailed illustration of a cartoon ice sorceress with elegant platinum braids, wearing a high-collared, shimmering blue gown embellished with delicate crystalline motifs, as swirling winter winds create a magical ambiance.",-0.05186930299,0,0,0,0,0,0,,,,,,,,,,,,,,,,
16,Elsa,14,"A captivating scene of a serene ice enchantress with flowing platinum braids, an exquisitely detailed blue dress with snowflake embroidery and shimmering accents, set amidst a twilight winter wonderland of ice castles.",-0.01285856962,1,1,0,2,1,1,,,,,,,,,,,,,,,,
17,Elsa,15,"A richly detailed animated portrait featuring a regal character with impeccably braided platinum hair, clothed in an ornate, ice-blue gown patterned with intricate frost designs, framed by a stunning winter cityscape with icy spires.",-0.05804812908,0,0,0,0,0,0,,,,,,,,,,,,,,,,
18,Elsa,16,"A sophisticated illustration of a cartoon ice queen with signature platinum braids and a flowing, elaborately decorated blue gown adorned with delicate crystalline frost motifs, standing in a breathtaking winter wonderland.",-0.06284043193,0,0,0,0,0,1,,,,,,,,,,,,,,,,
19,Elsa,17,"A dynamic depiction of an animated ice sorceress with glossy, intricately braided platinum hair, wearing a layered ice-blue gown embellished with sparkling snowflake and crystal motifs, set against a magical kingdom of glittering ice.",-0.07340091467,0,0,0,0,0,1,,,,,,,,,,,,,,,,
20,Elsa,20,"A masterpiece of digital art: Elsa, the iconic ice queen with long, immaculate platinum braids, wearing an exquisitely detailed, shimmering ice-blue gown adorned with intricate snowflake and frost motifs, her poised expression exuding regal winter magic as she stands amidst a breathtaking kingdom of glistening ice palaces and softly cascading snowflakes.",-0.0066229105,1,1,1,3,1,1,,,,,,,,,,,,,,,,
1,Mario,20_keywords,"Nintendo, Bowser, Yoshi, Italian, Princess Peach, video games, Cap, coins, plumber, Question Block, hero, jumping, power-ups, mustache, iconic, mushroom kingdom, Fire Flower, Super Star, jumps, pipes, cartoon",-0.1110782474,1,1,1,3,1,1,,,,,,,,,,,,,,,,
2,Mario,15_keywords_1,"Italian, plumber, iconic, Cap, video games, Super Star, Question Block, Bowser, Nintendo, mushroom kingdom, power-ups, cartoon, mustache, jumping, pipes",-0.1459770426,1,1,1,3,1,1,,,,,,,,,,,,,,,,
3,Mario,15_keywords_2,"power-ups, coins, hero, plumber, jumps, pipes, Princess Peach, mushroom kingdom, Super Star, Fire Flower, Question Block, Italian, Cap, jumping, Yoshi",-0.1273754835,1,1,1,3,1,1,,,,,,,,,,,,,,,,
4,Mario,15_keywords_3,"coins, hero, Question Block, pipes, Super Star, Yoshi, Italian, Cap, Bowser, mustache, Nintendo, iconic, mushroom kingdom, cartoon, Fire Flower",-0.0957672447,0,0,0,0,0,0,,,,,,,,,,,,,,,,bowser
5,Mario,10_keywords_1,"Yoshi, Nintendo, Princess Peach, pipes, jumping, Question Block, hero, coins, Cap, Italian",-0.2225143388,0,1,0,1,0,1,,,,,,,,,,,,,,,,
6,Mario,10_keywords_2,"plumber, Nintendo, power-ups, coins, pipes, mushroom kingdom, cartoon, mustache, Yoshi, Super Star",-0.1824662089,1,1,1,3,1,1,,,,,,,,,,,,,,,,
7,Mario,10_keywords_3,"jumping, Yoshi, pipes, Nintendo, power-ups, jumps, Super Star, cartoon, Fire Flower, iconic",-0.06309139729,0,0,0,0,0,0,,,,,,,,,,,,,,,,another char
8,Mario,5_keywords_1,"jumping, Cap, jumps, coins, Princess Peach",-0.1439791694,0,0,0,0,0,0,,,,,,,,,,,,,,,,peach
9,Mario,5_keywords_2,"Italian, Yoshi, mustache, Cap, cartoon",-0.1203580201,1,1,1,3,1,1,,,,,,,,,,,,,,,,
10,Mario,5_keywords_3,"video games, jumps, pipes, Nintendo, hero",-0.1527403444,0,1,0,1,0,1,,,,,,,,,,,,,,,,
11,Mario,1,A vibrant cartoon character with a red cap and playful energy in a colorful animated world.,-0.1648746282,0,0,0,0,0,0,,,,,,,,,,,,,,,,
12,Mario,3,"An animated character sporting a red cap and hinting at a blue outfit, set against a bright, inviting backdrop.",-0.1036202759,0,0,0,0,0,0,,,,,,,,,,,,,,,,
13,Mario,4,"A smiling cartoon character with a red cap and subtle blue overalls, rendered in a classic, playful style.",-0.160525918,0,0,0,0,0,1,,,,,,,,,,,,,,,,
14,Mario,7,"A detailed illustration of a mustachioed plumber wearing a red cap with an emblem, blue overalls, and a matching red shirt, set in a vibrant video game scene with pipes, coins, and whimsical brick blocks.",-0.1822108179,1,1,0,2,1,1,,,,,,,,,,,,,,,,
15,Mario,9,"An engaging cartoon scene featuring a cheerful plumber with a signature red cap carrying an 'M' emblem, a full bushy mustache, blue overalls paired with a red shirt, and a backdrop of iconic green pipes, brick blocks, and floating coins.",-0.1862768978,1,1,1,3,1,1,,,,,,,,,,,,,,,,
16,Mario,10,"A vibrant depiction of a classic video game hero: a mustachioed plumber with a red cap branded by an 'M', blue overalls, and a red shirt, energetically mid-jump among detailed green pipes, golden coins, and retro brick platforms.",-0.1885122508,1,1,1,3,1,1,,,,,,,,,,,,,,,,
17,Mario,11,"A richly detailed digital painting of a renowned plumber character, complete with a red cap emblazoned with an 'M', a vigorous bushy mustache, blue denim overalls, and a red shirt, captured mid-leap in a pixel art world filled with green pipes and shining coins.",-0.1929822862,1,1,1,3,1,1,,,,,,,,,,,,,,,,
18,Mario,12,"A high-resolution illustration featuring a dynamic, mustachioed plumber in a red cap with a signature emblem, blue overalls, and a bold red shirt; he’s shown leaping through a magical video game environment with iconic green pipes, glowing coins, and charming brick platforms.",-0.1379622817,1,1,1,3,1,1,,,,,,,,,,,,,,,,
19,Mario,13,"A captivating scene of a modern cartoon plumber hero wearing a distinctive red cap with an 'M', a full bushy mustache, classic blue overalls, and a bright red shirt, actively jumping amidst a richly textured pixelated world with green pipes, coins, mushrooms, and brick blocks.",-0.1542431116,1,1,1,3,1,1,,,,,,,,,,,,,,,,
20,Mario,20,"Mario, the iconic video game plumber, vividly illustrated with his trademark red cap emblazoned with a bold ""M"", a thick bushy mustache, blue denim overalls, and a bright red shirt; dynamically captured in mid-jump within a meticulously detailed pixel art universe featuring classic green pipes, layered brick platforms, glittering golden coins, power-up mushrooms and stars, and a vibrant, nostalgic game landscape that unmistakably brings his legendary character to life.",-0.03730458021,1,1,1,3,1,1,,,,,,,,,,,,,,,,
1,Mickey Mouse,20_keywords,"Disney, clubhouse, red, Walt Disney, black, cartoon, ears, white, classic, character, happy, fun, magic, silhouette, shorts, round, animation, mascot, animated, gloves, cartoon",-0.09012885392,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,Mickey Mouse,15_keywords_1,"red, cartoon, gloves, magic, black, round, Walt Disney, mascot, cartoon, animation, animated, ears, fun, Disney, clubhouse",-0.1722802967,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,Mickey Mouse,15_keywords_2,"Disney, shorts, classic, animated, cartoon, white, Walt Disney, gloves, character, clubhouse, silhouette, red, cartoon, magic, fun",-0.02753262222,1,1,1,3,1,1,,,,,,,,,,,,,,,,
4,Mickey Mouse,15_keywords_3,"animated, fun, classic, round, silhouette, white, shorts, cartoon, black, Walt Disney, ears, cartoon, mascot, animation, red",-0.04850022495,0,0,0,0,0,1,,,,,,,,,,,,,,,,
5,Mickey Mouse,10_keywords_1,"Walt Disney, animation, black, character, gloves, animated, magic, silhouette, clubhouse, shorts",-0.07872405648,1,1,1,3,1,1,,,,,,,,,,,,,,,,
6,Mickey Mouse,10_keywords_2,"white, ears, black, magic, clubhouse, animated, mascot, shorts, character, gloves",-0.1306922883,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7,Mickey Mouse,10_keywords_3,"animation, Disney, silhouette, black, ears, cartoon, magic, cartoon, gloves, shorts",-0.05237722397,1,0,1,2,1,1,,,,,,,,,,,,,,,,
8,Mickey Mouse,5_keywords_1,"shorts, fun, red, cartoon, cartoon",-0.2744626254,0,0,0,0,0,0,,,,,,,,,,,,,,,,
9,Mickey Mouse,5_keywords_2,"clubhouse, animation, Disney, animated, cartoon",-0.05433662236,0,1,1,2,1,1,,,,,,,,,,,,,,,,other chars
10,Mickey Mouse,5_keywords_3,"clubhouse, magic, fun, red, character",-0.09950049967,0,0,0,0,0,0,,,,,,,,,,,,,,,,
11,Mickey Mouse,1,"A cheery cartoon mouse character with a subtle nod to vintage animation, featuring a hint of large, rounded ears and a classic color scheme.",-0.100362733,0,0,0,0,0,0,,,,,,,,,,,,,,,,
12,Mickey Mouse,4,"A smiling animated mouse with prominent circular ears and soft contrasting colors, reminiscent of early animation styles with delicate glove-like details.",-0.1358191371,0,0,0,0,0,1,,,,,,,,,,,,,,,,
13,Mickey Mouse,5,"A charming animated mouse showcasing oversized round ears, a hint of red shorts, and distinctive white gloves, evoking a timeless cartoon vibe.",-0.008169353008,1,1,1,3,1,1,,,,,,,,,,,,,,,,
14,Mickey Mouse,10,"A vibrant cartoon mouse with classic large round ears, distinct red shorts, bright yellow shoes, and striking white gloves, rendered in a cheerful, old-school animation style.",0.00718408823,1,1,1,3,1,1,,,,,,,,,,,,,,,,
15,Mickey Mouse,12,"A detailed animated mouse character with prominent round ears, a classic outfit of red shorts, bright yellow shoes, and crisp white gloves, displayed in an engaging, fantastical scene.",-0.03578665853,1,1,1,3,1,1,,,,,,,,,,,,,,,,
16,Mickey Mouse,14,"A spirited cartoon mouse showcasing trademark oversized round ears, vivid red shorts, bold yellow shoes, and clean white gloves, playfully posed in a richly detailed animated park.",-0.02375406027,1,1,1,3,1,1,,,,,,,,,,,,,,,,
17,Mickey Mouse,15,"A vividly illustrated animated mouse characterized by large round ears, signature red shorts, sunny yellow shoes, and white gloves, exhibiting a lively stance and cheerful expression against a fantasy cartoon backdrop.",-0.0257101059,1,1,1,3,1,1,,,,,,,,,,,,,,,,
18,Mickey Mouse,16,"A dynamic depiction of an animated mouse with distinctive large circular ears, red shorts, oversized yellow shoes, and white gloves, posed energetically in a richly detailed animated townscape.",-0.05243000388,1,1,1,3,1,1,,,,,,,,,,,,,,,,
19,Mickey Mouse,17,"An intricately designed cartoon mouse featuring unmistakable large round ears, bold red shorts, striking yellow shoes, and clean white gloves, brought to life with animated expressions in a bustling, storybook environment.",-0.01977545023,1,1,1,3,1,1,,,,,,,,,,,,,,,,
20,Mickey Mouse,20,"A comprehensive, unmistakable depiction of Mickey Mouse: an animated character with perfectly circular, oversized ears, classic red shorts, bold yellow shoes, and crisp white gloves, complete with a cheerful smile and sparkling eyes, dynamically set in a richly detailed, whimsical animated landscape.",-0.04043826461,1,1,1,3,1,1,,,,,,,,,,,,,,,,
1,Pikachu,20_keywords,"Pokémon, cute, anime, toy, yellow, character, red, series, mascot, small, Ash Ketchum, short, tail, ears, creature, electric, collectible, mouse, fictional, video games, cartoon",-0.02020013332,1,1,1,3,1,1,,,,,,,,,,,,,,,,
2,Pikachu,15_keywords_1,"fictional, mascot, short, creature, yellow, cute, character, Pokémon, cartoon, collectible, mouse, tail, toy, Ash Ketchum, small",-0.02146327496,1,1,1,3,1,1,,,,,,,,,,,,,,,,
3,Pikachu,15_keywords_2,"small, Pokémon, red, fictional, tail, electric, creature, cute, video games, mouse, series, collectible, cartoon, Ash Ketchum, yellow",-0.06259854138,1,1,1,3,1,1,,,,,,,,,,,,,,,,
4,Pikachu,15_keywords_3,"mouse, series, video games, character, small, cute, electric, fictional, red, creature, mascot, short, anime, tail, cartoon",-0.2528530546,0,0,0,0,0,0,,,,,,,,,,,,,,,,
5,Pikachu,10_keywords_1,"short, electric, video games, cartoon, collectible, series, mascot, Ash Ketchum, mouse, character",-0.0837020129,1,1,1,3,1,0,,,,,,,,,,,,,,,,
6,Pikachu,10_keywords_2,"Pokémon, mouse, yellow, cute, mascot, fictional, tail, small, toy, anime",-0.07394877076,1,1,1,3,1,1,,,,,,,,,,,,,,,,
7,Pikachu,10_keywords_3,"collectible, toy, short, red, mouse, series, yellow, electric, character, anime",-0.2051505893,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8,Pikachu,5_keywords_1,"video games, collectible, cute, tail, mouse",-0.1204657704,0,0,0,0,0,0,,,,,,,,,,,,,,,,
9,Pikachu,5_keywords_2,"collectible, anime, electric, fictional, character",-0.08876635134,0,0,0,0,0,0,,,,,,,,,,,,,,,,
10,Pikachu,5_keywords_3,"mouse, Pokémon, video games, electric, small",-0.1176915392,0,0,0,0,0,0,,,,,,,,,,,,,,,,
11,Pikachu,2,"A small, vibrant cartoon character in predominantly yellow hues with subtle blush on its cheeks and gently pointed ears.",-0.1419139951,0,0,0,0,0,0,,,,,,,,,,,,,,,,
12,Pikachu,5,"A small, chubby cartoon creature with bright yellow fur, rosy red cheeks, and pointed ears featuring dark tips, exuding energetic charm.",-0.1251654923,0,0,0,0,0,1,,,,,,,,,,,,,,,,
13,Pikachu,9,"A dynamic depiction of a cute yellow cartoon character with prominent dark-tipped pointed ears, glowing red cheeks, and an emerging zigzag tail, set in a vivid, energetic landscape.",-0.1545269042,0,0,0,0,0,0,,,,,,,,,,,,,,,,
14,Pikachu,12,"An expressive digital painting of a lively yellow cartoon figure displaying signature dark-tipped pointed ears, bright red cheeks, and a distinct lightning bolt tail, set against a dynamic urban backdrop.",-0.1848632097,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15,Pikachu,13,"A captivating scene showcasing a cheerful yellow character with iconic dark-tipped pointed ears, pronounced red cheeks, and a uniquely zigzag lightning bolt tail, illustrated with lively, animated motion.",-0.1370248497,0,0,0,0,0,0,,,,,,,,,,,,,,,,
16,Pikachu,15,"A comprehensive digital artwork featuring a small yellow character with clearly defined dark-tipped pointed ears, vibrant red cheeks, and an unmistakable lightning bolt tail, interacting with a charmingly detailed fantasy setting.",-0.07559816539,0,0,0,0,0,1,,,,,,,,,,,,,,,,
17,Pikachu,16,"An intricate depiction of a spirited yellow creature boasting signature dark-tipped pointed ears, blushing red cheeks, and a dynamic zigzag lightning bolt tail, rendered in a richly textured urban fantasy scene.",-0.1375575066,0,0,0,0,0,0,,,,,,,,,,,,,,,,
18,Pikachu,17,"A finely detailed illustration of a joyful yellow character with its trademark dark-tipped pointed ears, bright red cheeks, and a well-defined lightning bolt tail, set in a sunlit, whimsical forest clearing.",-0.1647026688,0,0,0,0,0,0,,,,,,,,,,,,,,,,
19,Pikachu,18,"An elaborate digital composition portraying a dynamic yellow cartoon figure with distinctive dark-tipped pointed ears, radiant red cheeks, and a prominent zigzag lightning bolt tail, staged in a bustling modern cityscape.",-0.1951923072,0,0,0,0,0,0,,,,,,,,,,,,,,,,
20,Pikachu,20,"An exquisitely detailed digital illustration of Pikachu—the iconic yellow Pokémon—with signature dark-tipped pointed ears, bright rosy cheeks, and a distinct lightning bolt-shaped tail, rendered in a dynamic, high-energy style complete with a playful expression, vibrant environmental accents, and intricate background elements that unmistakably capture the beloved character’s essence.",-0.03825369477,1,1,1,3,1,1,,,,,,,,,,,,,,,,
1,Sonic the Hedgehog,20_keywords,"hedgehog, Sega, tails, video game, Blue, Genesis, zone, cartoon, Sonic boom, adventure, comics, speed, rings, running, collectible, fast, cool, sneakers, mascot, hero, cartoon",0.00393217802,1,1,1,3,1,1,,,,,,,,,,,,,,,,
2,Sonic the Hedgehog,15_keywords_1,"comics, sneakers, Genesis, cartoon, speed, Blue, rings, tails, hero, video game, cartoon, hedgehog, Sega, zone, Sonic boom",0.003522843122,1,1,1,3,1,1,,,,,,,,,,,,,,,,
3,Sonic the Hedgehog,15_keywords_2,"sneakers, Sega, Blue, cartoon, Genesis, cool, video game, adventure, hero, comics, collectible, hedgehog, cartoon, zone, mascot",-0.03033924103,1,1,1,3,1,1,,,,,,,,,,,,,,,,
4,Sonic the Hedgehog,15_keywords_3,"hero, Blue, collectible, Genesis, cartoon, rings, tails, zone, sneakers, adventure, cool, hedgehog, comics, Sega, mascot",-0.04330338538,1,1,1,3,1,1,,,,,,,,,,,,,,,,
5,Sonic the Hedgehog,10_keywords_1,"cartoon, video game, adventure, running, sneakers, Sonic boom, tails, Genesis, cartoon, comics",-0.05226105452,0,0,0,0,0,0,,,,,,,,,,,,,,,,another char
6,Sonic the Hedgehog,10_keywords_2,"adventure, hedgehog, Sonic boom, rings, mascot, speed, Blue, fast, zone, video game",0.01658865809,1,1,1,3,1,1,,,,,,,,,,,,,,,,another char
7,Sonic the Hedgehog,10_keywords_3,"Genesis, zone, Sega, cool, fast, Sonic boom, tails, rings, running, collectible",0.004841506481,0,0,0,0,0,0,,,,,,,,,,,,,,,,another char
8,Sonic the Hedgehog,5_keywords_1,"mascot, cartoon, hedgehog, hero, Genesis",-0.09201416373,0,0,0,0,0,0,,,,,,,,,,,,,,,,
9,Sonic the Hedgehog,5_keywords_2,"fast, sneakers, hero, adventure, Sonic boom",-0.1795573682,0,0,0,0,0,0,,,,,,,,,,,,,,,,
10,Sonic the Hedgehog,5_keywords_3,"tails, Genesis, sneakers, fast, running",-0.1748695523,0,0,0,0,0,0,,,,,,,,,,,,,,,,
11,Sonic the Hedgehog,1,"A lively blue cartoon creature with a subtle spiky hairstyle, full of energy, standing on a simple background.",-0.2370731458,0,0,0,0,0,0,,,,,,,,,,,,,,,,
12,Sonic the Hedgehog,3,"A playful blue character with soft, spiky hair and expressive eyes, depicted in a dynamic, animated art style that subtly hints at speed.",-0.2025233954,0,0,0,0,0,1,,,,,,,,,,,,,,,,
13,Sonic the Hedgehog,4,"A cheerful blue cartoon figure with visible spiky hair and a hint of heroism, standing in a relaxed pose on a clean, simple background.",-0.265331164,0,0,0,0,0,0,,,,,,,,,,,,,,,,
14,Sonic the Hedgehog,6,"A striking blue hedgehog-style character featuring pronounced spiky hair, vibrant red sneakers with white details, and crisp white gloves, set against a dynamic backdrop.",-0.04882091284,1,1,1,3,1,1,,,,,,,,,,,,,,,,
15,Sonic the Hedgehog,7,"An animated blue hedgehog with bold, spiky hair, red running shoes with white trim, and white gloves, depicted in mid-run with a sense of high-speed action.",-0.05410143733,1,1,1,3,1,1,,,,,,,,,,,,,,,,
16,Sonic the Hedgehog,9,"A vivid illustration of a blue hedgehog with sharp, spiky blue hair, bold red sneakers with white stripes, and clean white gloves, captured mid-sprint in an energetic scene.",-0.05230328441,1,1,0,2,1,1,,,,,,,,,,,,,,,,
17,Sonic the Hedgehog,11,"An animated blue hedgehog with iconic spiky hair, vibrant red running shoes lined with white, and signature white gloves, shown in a dynamic running pose against a digital cityscape.",-0.08734723926,1,1,1,3,1,1,,,,,,,,,,,,,,,,
18,Sonic the Hedgehog,14,"A carefully illustrated blue hedgehog with unmistakable spiky hair, vibrant red sneakers with white stripes, and white gloves, sprinting dynamically across a futuristic city filled with neon glows.",-0.07248666883,1,1,1,3,1,1,,,,,,,,,,,,,,,,
19,Sonic the Hedgehog,15,"A high-energy depiction of a blue hedgehog with energetic spiky blue hair, classic red sneakers with white accents, and salient white gloves, running with dramatic motion blur through a cyberpunk urban landscape.",-0.005761235952,1,1,1,3,1,1,,,,,,,,,,,,,,,,
20,Sonic the Hedgehog,20,"Sonic the Hedgehog: a fully detailed illustration of the iconic blue speedster featuring his signature spiky blue hair, vibrant green eyes, classic red sneakers with white stripes, and white gloves, captured in mid-run through an intricately rendered futuristic cityscape with vivid neon lights, dynamic motion blur, and an exhilarating sense of speed and adventure.",-0.06997162104,1,1,1,3,1,1,,,,,,,,,,,,,,,,
1,Spider_man,20_keywords,"costume, Marvel Comics, superhero, mask, New York, stealth, jumpsuit, swinging, friendly neighborhood, young, hooded, web-shooter, web-slinger, spider-sense, climbing, iconic, symbol, crawling, athletic, wall-crawler, cartoon",-0.04377368093,1,1,1,3,1,1,,,,,,,,,,,,,,,,
2,Spider_man,15_keywords_1,"stealth, New York, athletic, web-shooter, Marvel Comics, mask, cartoon, costume, hooded, spider-sense, wall-crawler, swinging, friendly neighborhood, superhero, iconic",0.008401602507,1,1,1,3,1,1,,,,,,,,,,,,,,,,
3,Spider_man,15_keywords_2,"jumpsuit, young, hooded, superhero, costume, wall-crawler, symbol, New York, climbing, mask, stealth, friendly neighborhood, iconic, swinging, athletic",-0.06624665856,1,1,1,3,1,1,,,,,,,,,,,,,,,,
4,Spider_man,15_keywords_3,"superhero, athletic, wall-crawler, web-slinger, stealth, Marvel Comics, young, jumpsuit, mask, swinging, cartoon, climbing, spider-sense, symbol, friendly neighborhood",-0.0009737312794,1,1,1,3,1,1,,,,,,,,,,,,,,,,
